Economy Class,13669
Food,9198
Business Class,8103
First Class,4091
 Dubai,4020
Loading,4017
Passenger,3357
Compliments,3235
 Outstation,3043
YC Prod / Service,1178
KIS Application,1041
JC Prod / Service,929
Passenger Behaviour,925
Duty Free Items,911
Payroll adjustments,651
Complaints,629
Crew,555
Image ,546
General,502
Product Feedback,501
Equipment,476
Disruptive/ Alcohol,399
Transactions,386
Disruptive/ Non,350
Seals,336
Security Search,333
Crew Procedures,325
Hotel Feedback,253
FC Prod / Service,232
IO customers,226
Systems (non,190
EMK/FAK/SEMK/UPK,173
Smoking ,128
Printer,123
Precious Cargo,107
Ground to Pur Msgs,103
Cabin Management,102
Galley,101
DF Done Nil Sales,100
Smoke Detectors,87
Suspicious Behaviour,75
DF not done,74
Technical,72
Theft,65
Duty Free Targets,63
Ground Operations,61
Lavatory,56
EquipmentFault,54
Paper Work,47
Outstation,46
Airport,44
Doors,43
Smoke,40
OME Braille W.Stmt,36
Base (Dubai),32
Special Offers,32
Communication,30
Reduced,29
Smoking,29
PA issues,28
YC SSQ Errors,28
Soft Blocked Seats,27
Confidential Issues,26
HRK,24
JC SSQ Errors,23
Rest Strategies,23
Emergency Equipment,23
CRC,22
Policies,21
Fitness ,21
Disturbed,20
Lounge,20
Suspicious Items,19
Disruptive/ Non  Alc,17
Hotel Security,16
Fumes ,16
Extended,15
Station Information,15
Passenger Load Error,14
Weather,14
Passports,13
Image and Uniform,12
Service,10
Audits,10
Curtains/Hardblocked,9
Smoking  Lavatory,8
Unidentified Noise,8
Safety,7
Peer Support,7
Shower Spa,7
FC SSQ Errors,6
Diversions,5
Vibration,4
Fire Extinguisher,3
Service Manual,3
Disruptive/ Non Alc,2
Duty Free,2
Door Checker,2
Arms/ Weapons,1
F.E.S.,1
Fraud,1
Smoking  Ecigarette,1
Fire,1
Security,1
Disruptive/ Non Alcohol,1
