Economy Class,13362
Food,9176
Business Class,7921
Loading,4013
First Class,4000
 Dubai,3986
Passenger,3323
 Outstation,2987
Compliments,2960
YC Prod / Service,1165
KIS Application,1035
JC Prod / Service,918
Duty Free Items,908
Passenger Behaviour,904
Payroll adjustments,650
Crew,542
Image ,540
Complaints,523
Product Feedback,496
General,477
Equipment,474
Transactions,384
Disruptive/ Alcohol,360
Seals,334
Security Search,327
Disruptive/ Non,310
Crew Procedures,310
FC Prod / Service,229
Hotel Feedback,228
IO customers,223
Systems (non,190
EMK/FAK/SEMK/UPK,173
Smoking ,127
Printer,122
Precious Cargo,107
Ground to Pur Msgs,102
